"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Barcode","Option1 name","Option1 value","Option1 Linked To","Option2 name","Option2 value","Option2 Linked To","Option3 name","Option3 value","Option3 Linked To","Price","Compare-at price","Cost per item","Charge tax","Tax code","Unit price total measure","Unit price total measure unit","Unit price base measure","Unit price base measure unit","Inventory tracker","Inventory quantity","Continue selling when out of stock","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Product image URL","Image position","Image alt text","Variant image URL","Gift card","SEO title","SEO description","Color (product.metafields.shopify.color-pattern)","Google Shopping / Google product category","Google Shopping / Gender","Google Shopping / Age group","Google Shopping / Manufacturer part number (MPN)","Google Shopping / Ad group name","Google Shopping / Ads labels","Google Shopping / Condition","Google Shopping / Custom product","Google Shopping / Custom label 0","Google Shopping / Custom label 1","Google Shopping / Custom label 2","Google Shopping / Custom label 3","Google Shopping / Custom label 4","Metafield: custom.specifications [json]"
"","mq6500-electrical-start-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_81766647719.jpeg","10","Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"Mq7500 Oi Electrical Start Inverter Generator 5500 Max Starting Watts","mq7500-oi-electrical-start-inverter-generator-5500-max-starting-watts","Mq7500 Oi Electrical Start Inverter Generator 5500 Max Starting Watts","AIpower Kuwait","Generator","Inverter Generator","Generator, Inverter Generator, Inverter","TRUE","Active","AIP-15","","Title","Default Title","","","","","","","","185","","","TRUE","","","","","","shopify","0","DENY","30000","g","TRUE","manual","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647677.jpeg","1","Mq7500 Oi Electrical Start Inverter Generator 5500 Max Starting Watts","","FALSE","Mq7500 Oi Electrical Start Inverter Generator 5500 Max Starting Watts","MQ7500-OI Electrical Start Inverter Generator 5500 Max Starting WattsRated Watts :- 5000W Max Starting Watts :- 5500W Volts :- 230V Phase, Frequency :- Single, 50Hz/60Hz Starting Method :- Electrical Horse Power (HP) :- 9.0 HP Fuel Tank Capacity :- 7L Engine Oil Capacity :- 0.6L Noise Level :- 78.5dBA @ 75% Socket :- 1","","","","","","Inverter Generator","Generator","New","FALSE","","","","","","{""rated_watts"":""5000W"",""max_starting_watts"":""5500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""9.0 HP"",""fuel_tank_capacity"":""7L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""78.5dBA @ 75%"",""socket"":""1 X 13A, 1 X 32A"",""net_weight"":""30KG"",""dimension"":""455mm X 385mm X 485mm"",""fuel_type"":""Inverter""}"
"","mq7500-oi-electrical-start-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647678.jpeg","2","Mq7500 Oi Electrical Start Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq7500-oi-electrical-start-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647678.jpeg","3","Mq7500 Oi Electrical Start Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq7500-oi-electrical-start-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647679.jpeg","4","Mq7500 Oi Electrical Start Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"Mq7500 Si Silent Inverter Generator 5500 Max Starting Watts","mq7500-si-silent-inverter-generator-5500-max-starting-watts","Mq7500 Si Silent Inverter Generator 5500 Max Starting Watts","AIpower Kuwait","Generator","Inverter Generator","Generator, Inverter Generator, Inverter","TRUE","Active","MQ7500-SI","","Title","Default Title","","","","","","","","220","","","TRUE","","","","","","shopify","0","DENY","45000","g","TRUE","manual","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647648.jpeg","1","Mq7500 Si Silent Inverter Generator 5500 Max Starting Watts","","FALSE","Mq7500 Si Silent Inverter Generator 5500 Max Starting Watts","MQ7500-SI Silent Inverter Generator 5500 Max Starting WattsRated Watts :- 5000W Model Number :- MQ7500-SI Max Starting Watts :- 5500W Volts :- 230V Phase, Frequency :- Single, 50Hz/60Hz Starting Method :- Electrical Horse Power (HP) :- 9.0 HP Fuel Tank Capacity :- 10L Engine Oil Capacity :- 0.6L Noise Level :- 78.5dBA ","","","","","MQ7500-SI","Inverter Generator","Generator","New","FALSE","","","","","","{""model_number"":""MQ7500-SI"",""rated_watts"":""5000W"",""max_starting_watts"":""5500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""9.0 HP"",""fuel_tank_capacity"":""10L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""78.5dBA @ 75%"",""socket"":""1 X 13A, 1 X 32A"",""net_weight"":""45KG"",""dimension"":""625mm X 485mm X 570mm"",""fuel_type"":""Inverter""}"
"","mq7500-si-silent-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647649.jpeg","2","Mq7500 Si Silent Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq7500-si-silent-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647649.jpeg","3","Mq7500 Si Silent Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq7500-si-silent-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647649.jpeg","4","Mq7500 Si Silent Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq7500-si-silent-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647650.jpeg","5","Mq7500 Si Silent Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
