id,name,categoryName,subCategoryName,price,currency,stockStatus,preparationTime,specifications,url,Image Src,Additional Images
"786","Ingco 10pcs 1 2 Dr Cr Mo Standard Impact Socket Set 10 24mm","Accessories","","7","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/786-ingco-10pcs-1-2-dr-cr-mo-standard-impact-socket-set-10-24mm","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775642452.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775642458.jpg"
"789","Ingco 10pcs 1 2 Dr Cr Mo Deep Mpact Socket Set 10 24mm","Accessories","","9","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/789-ingco-10pcs-1-2-dr-cr-mo-deep-mpact-socket-set-10-24mm","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775642711.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775642717.jpg"
"795","Ingco Ultra Thin Diamond Disc Size 4 Inch 105 Mm And 10 Mm Blade Width","Accessories","","3","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/795-ingco-ultra-thin-diamond-disc-size-4-inch-105-mm-and-10-mm-blade-width","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775667721.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775667728.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775667732.jpg"
"798","Ingco Tct Saw Blade 140mm","Accessories","","3.5","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/798-ingco-tct-saw-blade-140mm","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775668158.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775668161.jpg"
"801","Ingco High Quality 3 Piece Impact Socket Adaptor Set Multi Size Compatibility Durable Ergonomic","Accessories","","2.5","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/801-ingco-high-quality-3-piece-impact-socket-adaptor-set-multi-size-compatibility-durable-ergonomic","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775668666.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775668670.jpg"
"804","Ingco Professional 6 Piece Magnetic Hex Impact Nut Set Durable Drill Bit Accessories 6mm 12mm","Accessories","","4","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/804-ingco-professional-6-piece-magnetic-hex-impact-nut-set-durable-drill-bit-accessories-6mm-12mm","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775669018.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775669022.jpg"
"807","Ingco 30 Pcs Screwdriver Bits Set","Accessories","","5","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/807-ingco-30-pcs-screwdriver-bits-set","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775669389.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775669394.jpg"
"810","Ingco 118 Pcs Accessories Set 6pcs Masonry Drill","Accessories","","12","KWD","Only 5 left","1 Days","","https://aipowerkw.com/en/product/810-ingco-118-pcs-accessories-set-6pcs-masonry-drill","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775669761.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775669764.jpg"
"813","Ingco 62pcs 1 2 Dr Socket Set 10~32mm","Accessories","","17.5","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/813-ingco-62pcs-1-2-dr-socket-set-10~32mm","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775670540.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775670544.jpg"
"816","Ingco 100 Pcs Screwdriver Set Cr V Material Hksd10028 Ing Ht","Accessories","","12","KWD","Only 3 left","1 Days","","https://aipowerkw.com/en/product/816-ingco-100-pcs-screwdriver-set-cr-v-material-hksd10028-ing-ht","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775671145.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775671549.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775671570.jpg"
"828","Ingco 30 Pcs 76mm Cutting Grinding Disc Set","Accessories","","9","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/828-ingco-30-pcs-76mm-cutting-grinding-disc-set","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775713347.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775713383.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775713490.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775713502.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775714035.jpg"
"843","Full Face Respirator Mask With Dual Filter System","Accessories","","17","KWD","Only 7 left","1 Days","","https://aipowerkw.com/en/product/843-full-face-respirator-mask-with-dual-filter-system","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775731515.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775731526.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775731534.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775731541.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775731705.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775731882.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775731923.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775731949.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775731964.jpg"
"882","Ingco 8 In 1 Multi Function Combination Pliers","Accessories","","4","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/882-ingco-8-in-1-multi-function-combination-pliers","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775803793.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775803800.jpg"
"885","Ingco Tile Cutter 1200 Mm Length Tungsten Carbide Ball Bearing Blade Solid Sedan Lods 15 7 Kg","Accessories","","40","KWD","Only 2 left","1 Days","","https://aipowerkw.com/en/product/885-ingco-tile-cutter-1200-mm-length-tungsten-carbide-ball-bearing-blade-solid-sedan-lods-15-7-kg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775804596.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775804602.jpg"
